priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.tempSuspendedSeries,meta.isETFSec,meta.isDelisted,meta.isin,meta.slb_isin,meta.listingDate,meta.isMunicipalBond,meta.isHybridSymbol,meta.quotepreopenstatus.equityTime,meta.quotepreopenstatus.preOpenTime,meta.quotepreopenstatus.QuotePreOpenFlag
0,SUNTV,SUNTVEQN,656.0,666.0,654.0,660.0,647.95,12.05,1.86,65020581053.96,921.0,549.3,336305,0,221954573.9,,28.338762214983714,-20.152921900600774,4.66,10-Apr-2024,https://nsearchives.nseindia.com/365d/SUNTV-EQ.svg,12-Mar-2025,14.87,https://nsearchives.nseindia.com/30d/SUNTV-EQ.svg,https://nsearchives.nseindia.com/today/SUNTVEQN.svg,EQ,SUNTV,Sun TV Network Limited,TV Broadcasting & Software Production,['EQ'],[],False,False,True,False,False,[],False,False,INE424H01027,INE424H01027,2006-04-24,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,RAYMONDLSL,RAYMONDLSLEQN,1038.45,1048.8,1022.1,1042.0,1023.0,19.0,1.86,28126712080.72,3100.0,914.05,100140,0,103905264.0,,66.38709677419355,-13.998140145506268,-,-,-,12-Mar-2025,-1.16,https://nsearchives.nseindia.com/30d/RAYMONDLSL-EQ.svg,https://nsearchives.nseindia.com/today/RAYMONDLSLEQN.svg,EQ,RAYMONDLSL,Raymond Lifestyle Limited,Garments & Apparels,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE02ID01020,INE02ID01020,2024-09-05,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,GOPAL,GOPALEQN,280.0,282.7,275.15,279.1,274.0,5.1,1.86,5777027923.78,520.0,255.9,64375,0,17926506.25,,46.32692307692307,-9.066041422430644,-17.66,10-Apr-2024,https://nsearchives.nseindia.com/365d/GOPAL-EQ.svg,12-Mar-2025,3.27,https://nsearchives.nseindia.com/30d/GOPAL-EQ.svg,https://nsearchives.nseindia.com/today/GOPALEQN.svg,EQ,GOPAL,Gopal Snacks Limited,Packaged Foods,['EQ'],[],False,False,False,False,False,[],False,False,INE0L9R01028,,2024-03-14,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,BEL,BELEQN,283.0,287.0,282.65,285.3,280.15,5.15,1.84,1019023872535.03,340.5,221.0,13883110,0,3959879465.3,,16.21145374449339,-29.095022624434392,24.59,10-Apr-2024,https://nsearchives.nseindia.com/365d/BEL-EQ.svg,12-Mar-2025,2.95,https://nsearchives.nseindia.com/30d/BEL-EQ.svg,https://nsearchives.nseindia.com/today/BELEQN.svg,EQ,BEL,Bharat Electronics Limited,Aerospace & Defense,['EQ'],[],True,False,True,False,False,[],False,False,INE263A01024,INE263A01024,2000-07-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,BIRLACORPN,BIRLACORPNEQN,1110.0,1113.0,1093.0,1111.5,1091.55,19.95,1.83,31459734084.77,1682.0,910.25,49563,0,54649155.06,,33.9179548156956,-22.10931062894809,-28.17,10-Apr-2024,https://nsearchives.nseindia.com/365d/BIRLACORPN-EQ.svg,12-Mar-2025,8.38,https://nsearchives.nseindia.com/30d/BIRLACORPN-EQ.svg,https://nsearchives.nseindia.com/today/BIRLACORPNEQN.svg,EQ,BIRLACORPN,Birla Corporation Limited,Cement & Cement Products,['EQ'],[],False,False,True,False,False,[],False,False,INE340A01012,INE340A01012,1995-04-12,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,GAIL,GAILEQN,173.02,173.37,169.31,171.94,168.86,3.08,1.82,462543160431.72,246.3,150.52,11757223,0,2016011027.81,,30.190824198132365,-14.230667020993877,-15.08,10-Apr-2024,https://nsearchives.nseindia.com/365d/GAIL-EQ.svg,12-Mar-2025,7.86,https://nsearchives.nseindia.com/30d/GAIL-EQ.svg,https://nsearchives.nseindia.com/today/GAILEQN.svg,EQ,GAIL,GAIL (India) Limited,Gas Transmission/Marketing,['EQ'],[],True,False,True,False,False,[],False,False,INE129A01019,INE129A01019,1997-04-02,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,CHOICEIN,CHOICEINEQN,515.0,518.85,507.9,513.9,504.7,9.2,1.82,40816586697.39,568.9,291.0,624619,0,321378967.88,,9.667779926173317,-76.59793814432989,67.32,10-Apr-2024,https://nsearchives.nseindia.com/365d/CHOICEIN-EQ.svg,12-Mar-2025,6.9,https://nsearchives.nseindia.com/30d/CHOICEIN-EQ.svg,https://nsearchives.nseindia.com/today/CHOICEINEQN.svg,EQ,CHOICEIN,Choice International Limited,Holding Company,['EQ'],[],False,False,True,False,False,[],False,False,INE102B01014,INE102B01014,2022-04-08,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,VSTIND,VSTINDEQN,275.0,275.0,263.75,273.5,268.6,4.9,1.82,16696791036.46,486.15,242.05,396936,0,107684767.44,,43.7416435256608,-12.99318322660607,-92.4,10-Apr-2024,https://nsearchives.nseindia.com/365d/VSTIND-EQ.svg,12-Mar-2025,5.33,https://nsearchives.nseindia.com/30d/VSTIND-EQ.svg,https://nsearchives.nseindia.com/today/VSTINDEQN.svg,EQ,VSTIND,VST Industries Limited,Cigarettes & Tobacco Products,['EQ'],[],False,False,True,False,False,[],False,False,INE710A01016,INE710A01016,2003-09-05,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SHOPERSTOP,SHOPERSTOPEQN,490.1,499.2,489.8,494.5,485.65,8.85,1.82,18435114534.78,943.4,467.15,23812,0,11770033.48,,47.583209667161334,-5.854650540511618,-33.43,10-Apr-2024,https://nsearchives.nseindia.com/365d/SHOPERSTOP-EQ.svg,12-Mar-2025,2.82,https://nsearchives.nseindia.com/30d/SHOPERSTOP-EQ.svg,https://nsearchives.nseindia.com/today/SHOPERSTOPEQN.svg,EQ,SHOPERSTOP,Shoppers Stop Limited,Diversified Retail,['EQ'],[],False,False,True,False,False,[],False,False,INE498B01024,INE498B01024,2005-05-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SHYAMMETL,SHYAMMETLEQN,844.0,852.0,832.2,849.9,834.8,15.1,1.81,59357410703.52,956.9,524.2,210032,0,176941458.4,,11.181941686696625,-62.1327737504769,33.92,10-Apr-2024,https://nsearchives.nseindia.com/365d/SHYAMMETL-EQ.svg,12-Mar-2025,3.04,https://nsearchives.nseindia.com/30d/SHYAMMETL-EQ.svg,https://nsearchives.nseindia.com/today/SHYAMMETLEQN.svg,EQ,SHYAMMETL,Shyam Metalics and Energy Limited,Iron & Steel Products,['EQ'],[],False,False,True,False,False,[],False,False,INE810G01011,INE810G01011,2021-06-24,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
